feature,Bin,WoE,Event rate,Count (%),Feature IV,feature_coeff_model,score_points,rare_categories,feature_type
ANNUITY_CREDIT_RATIO,"(0.0211, 0.0323]",0.333253,0.05920413278093192,0.15894605053494196,0.1459477571095993,-0.4358639379732795,4.191114643330716,,numerical
ANNUITY_CREDIT_RATIO,"(0.0323, 0.05]",0.01607,0.07954447909811439,0.4261934571233456,0.1459477571095993,-0.4358639379732795,0.20210234361978618,,numerical
ANNUITY_CREDIT_RATIO,"(0.05, 0.124]",-0.121308,0.09020176581838137,0.41481984325712984,0.1459477571095993,-0.4358639379732795,-1.5256148786452408,,numerical
ANNUITY_CREDIT_RATIO,SPECIAL_-88888,0.0,0.0,4.06490845826152e-05,0.1459477571095993,-0.4358639379732795,0.0,,numerical
EXT_SOURCE_WEIGHTED,"(-0.0009885, 0.35]",-1.08783,0.20674602098641576,0.14991788884914312,0.6261018605703771,-0.80051729120877,-25.126747949610245,,numerical
EXT_SOURCE_WEIGHTED,"(0.35, 0.44]",-0.379728,0.11377440347071584,0.14991382394068486,0.6261018605703771,-0.80051729120877,-8.770975010258587,,numerical
EXT_SOURCE_WEIGHTED,"(0.44, 0.525]",0.122219,0.07211127831781022,0.19988780852655197,0.6261018605703771,-0.80051729120877,2.8230201480501678,,numerical
EXT_SOURCE_WEIGHTED,"(0.525, 0.583]",0.498341,0.05065075921908894,0.14991382394068486,0.6261018605703771,-0.80051729120877,11.510703602545174,,numerical
EXT_SOURCE_WEIGHTED,"(0.583, 0.644]",0.81121,0.03755422993492408,0.14991382394068486,0.6261018605703771,-0.80051729120877,18.73736632029207,,numerical
EXT_SOURCE_WEIGHTED,"(0.644, 0.879]",1.232207,0.024972546467645504,0.19988780852655197,0.6261018605703771,-0.80051729120877,28.461574612527134,,numerical
EXT_SOURCE_WEIGHTED,SPECIAL_-99999,-0.07320155690931117,0.08633093525179857,0.0005650222756983513,0.6261018605703771,-0.80051729120877,-1.6908129670806211,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(4.25, 74921.044]",-0.657748,0.14495465083174036,0.09994390426327598,0.1839829109879029,0.4907242882055737,9.31325779491432,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(74921.044, 148179.082]",-0.227005,0.09925977142392321,0.19988780852655197,0.1839829109879029,0.4907242882055737,3.214234153101986,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(148179.082, 274041.892]",-0.115659,0.08973920965721444,0.24985772820396085,0.1839829109879029,0.4907242882055737,1.6376516284382396,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(274041.892, 381604.556]",0.177599,0.06849240780911063,0.14991382394068486,0.1839829109879029,0.4907242882055737,-2.514679286168849,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(381604.556, 556108.02]",0.437442,0.05366052060737527,0.14991382394068486,0.1839829109879029,0.4907242882055737,-6.193876859105478,,numerical
CREDIT_EXT_SOURCE_PRODUCT,"(556108.02, 2995346.0]",0.813491,0.03747186898402972,0.14991788884914312,0.1839829109879029,0.4907242882055737,-11.51847120301794,,numerical
CREDIT_EXT_SOURCE_PRODUCT,SPECIAL_-99999,-0.07320155690931117,0.08633093525179857,0.0005650222756983513,0.1839829109879029,0.4907242882055737,1.0364835324250419,,numerical
B_NUM_ACTIVE_CREDIT_720D,"(-0.001, 1.0]",0.24132752034399926,0.06453660017106752,0.4419734317583168,0.0684442337401039,-0.3801785116134641,2.647274347177844,,numerical
B_NUM_ACTIVE_CREDIT_720D,"(1.0, 2.0]",-0.04984543178020653,0.08450636444572776,0.1689335306168905,0.0684442337401039,-0.3801785116134641,-0.5467860967023156,,numerical
B_NUM_ACTIVE_CREDIT_720D,"(2.0, 3.0]",-0.26531660947597463,0.10273804256992577,0.0826924327664141,0.0684442337401039,-0.3801785116134641,-2.91042585257067,,numerical
B_NUM_ACTIVE_CREDIT_720D,"(3.0, 22.0]",-0.645265,0.14341432225063938,0.06357516828721017,0.0684442337401039,-0.3801785116134641,-7.078320281071859,,numerical
B_NUM_ACTIVE_CREDIT_720D,SPECIAL_-99999,-0.03894339072383094,0.08366673920685672,0.24282543657116842,0.0684442337401039,-0.3801785116134641,-0.42719470663091635,,numerical
B_DEBT_TO_CREDIT_RATIO,"(-175.29, 0.0]",0.413685,0.05487979393245564,0.227244642450652,0.1035488667562584,-0.2643077979512772,3.154890460843996,,numerical
B_DEBT_TO_CREDIT_RATIO,"(0.0, 0.224]",0.279157,0.06229003662844882,0.18755081135572826,0.1035488667562584,-0.2643077979512772,2.1289380963240805,,numerical
B_DEBT_TO_CREDIT_RATIO,"(0.224, 0.378]",0.103558,0.07336992029269568,0.12443497772430165,0.1035488667562584,-0.2643077979512772,0.789765513238533,,numerical
B_DEBT_TO_CREDIT_RATIO,"(0.378, 0.558]",-0.111979,0.08943912716819652,0.12443904263275991,0.1035488667562584,-0.2643077979512772,-0.8539866780638645,,numerical
B_DEBT_TO_CREDIT_RATIO,"(0.558, 0.733]",-0.321115,0.1079968639749118,0.0829566518162011,0.1035488667562584,-0.2643077979512772,-2.448922852735583,,numerical
B_DEBT_TO_CREDIT_RATIO,"(0.733, 5.843]",-0.555497,0.13273555784212848,0.08296071672465936,0.1035488667562584,-0.2643077979512772,-4.236392874596509,,numerical
B_DEBT_TO_CREDIT_RATIO,SPECIAL_-77777,0.0,0.0,4.0649084582615195e-06,0.1035488667562584,-0.2643077979512772,0.0,,numerical
B_DEBT_TO_CREDIT_RATIO,SPECIAL_-88888,0.21439995970716286,0.06618144888287068,0.02401547917140906,0.1035488667562584,-0.2643077979512772,1.635080768423958,,numerical
B_DEBT_TO_CREDIT_RATIO,SPECIAL_-99999,-0.24405016819166134,0.10079413561392792,0.1463936132158304,0.1035488667562584,-0.2643077979512772,-1.8612024791695252,,numerical
B_CREDIT_DURATION_MIN,"(-41790.001, 348.0]",0.103908,0.07334613991071856,0.5946107443660369,0.0339473846537755,-0.50051151926041,1.5006091751335622,,numerical
B_CREDIT_DURATION_MIN,"(348.0, 1094.0]",-0.050098,0.08452591777150242,0.16985626483691588,0.0339473846537755,-0.50051151926041,-0.7235007742988143,,numerical
B_CREDIT_DURATION_MIN,"(1094.0, 33929.0]",-0.095443,0.0881015082595164,0.08489561315079185,0.0339473846537755,-0.50051151926041,-1.3783601022276684,,numerical
B_CREDIT_DURATION_MIN,SPECIAL_-99999,-0.25110759165648544,0.10143558745749906,0.1506373776462554,0.0339473846537755,-0.50051151926041,-3.6264229509317274,,numerical
